complex_id,station_name,year,month,entries,exits
8,"5 Av/59 St (N,R,W)",2017,6,480288.0,336514.0
8,"5 Av/59 St (N,R,W)",2017,7,447152.0,308522.0
8,"5 Av/59 St (N,R,W)",2017,8,452389.0,311501.0
8,"5 Av/59 St (N,R,W)",2017,9,440983.0,305063.0
8,"5 Av/59 St (N,R,W)",2017,10,464573.0,321225.0
8,"5 Av/59 St (N,R,W)",2017,11,429700.0,304952.0
8,"5 Av/59 St (N,R,W)",2017,12,447547.0,318284.0
8,"5 Av/59 St (N,R,W)",2018,1,393753.0,277293.0
8,"5 Av/59 St (N,R,W)",2018,2,328552.0,232435.0
8,"5 Av/59 St (N,R,W)",2018,3,354243.0,255195.0
8,"5 Av/59 St (N,R,W)",2018,4,414574.0,302132.0
8,"5 Av/59 St (N,R,W)",2018,5,462853.0,326387.0
8,"5 Av/59 St (N,R,W)",2018,6,447793.0,324826.0
8,"5 Av/59 St (N,R,W)",2018,7,412010.0,299822.0
8,"5 Av/59 St (N,R,W)",2018,8,453169.0,326366.0
8,"5 Av/59 St (N,R,W)",2018,9,443528.0,316082.0
8,"5 Av/59 St (N,R,W)",2018,10,497688.0,363368.0
8,"5 Av/59 St (N,R,W)",2018,11,474062.0,336256.0
8,"5 Av/59 St (N,R,W)",2018,12,472944.0,337471.0
8,"5 Av/59 St (N,R,W)",2019,1,393072.0,293545.0
8,"5 Av/59 St (N,R,W)",2019,2,347546.0,248500.0
8,"5 Av/59 St (N,R,W)",2019,3,396135.0,285289.0
8,"5 Av/59 St (N,R,W)",2019,4,438442.0,317160.0
8,"5 Av/59 St (N,R,W)",2019,5,448484.0,327164.0
8,"5 Av/59 St (N,R,W)",2019,6,430707.0,314908.0
8,"5 Av/59 St (N,R,W)",2019,7,425130.0,311499.0
8,"5 Av/59 St (N,R,W)",2019,8,418557.0,307608.0
8,"5 Av/59 St (N,R,W)",2019,9,424486.0,305460.0
8,"5 Av/59 St (N,R,W)",2019,10,416048.0,317335.0
8,"5 Av/59 St (N,R,W)",2019,11,417981.0,322915.0
8,"5 Av/59 St (N,R,W)",2019,12,456233.0,350253.0
9,"57 St-7 Av (N,Q,R,W)",2015,1,707852.0,430743.0
9,"57 St-7 Av (N,Q,R,W)",2015,2,718221.0,421095.0
9,"57 St-7 Av (N,Q,R,W)",2015,3,630107.0,237470.0
9,"57 St-7 Av (N,Q,R,W)",2015,4,618755.0,240861.0
9,"57 St-7 Av (N,Q,R,W)",2015,5,622307.0,242125.0
9,"57 St-7 Av (N,Q,R,W)",2015,6,618793.0,237217.0
9,"57 St-7 Av (N,Q,R,W)",2015,7,591590.0,231692.0
9,"57 St-7 Av (N,Q,R,W)",2015,8,569089.0,218969.0
9,"57 St-7 Av (N,Q,R,W)",2015,9,596633.0,232196.0
9,"57 St-7 Av (N,Q,R,W)",2015,10,667412.0,266373.0
9,"57 St-7 Av (N,Q,R,W)",2015,11,611136.0,248021.0
9,"57 St-7 Av (N,Q,R,W)",2015,12,623389.0,254598.0
9,"57 St-7 Av (N,Q,R,W)",2016,1,543711.0,229214.0
9,"57 St-7 Av (N,Q,R,W)",2016,2,563392.0,231336.0
9,"57 St-7 Av (N,Q,R,W)",2016,3,647078.0,263731.0
9,"57 St-7 Av (N,Q,R,W)",2016,4,616189.0,252019.0
9,"57 St-7 Av (N,Q,R,W)",2016,5,624915.0,257458.0
9,"57 St-7 Av (N,Q,R,W)",2016,6,621957.0,251599.0
9,"57 St-7 Av (N,Q,R,W)",2016,7,575693.0,231083.0
9,"57 St-7 Av (N,Q,R,W)",2016,8,587167.0,233710.0
9,"57 St-7 Av (N,Q,R,W)",2016,9,635939.0,281495.0
9,"57 St-7 Av (N,Q,R,W)",2016,10,701746.0,322472.0
9,"57 St-7 Av (N,Q,R,W)",2016,11,757721.0,379368.0
9,"57 St-7 Av (N,Q,R,W)",2016,12,754851.0,369782.0
9,"57 St-7 Av (N,Q,R,W)",2017,1,796758.0,397973.0
9,"57 St-7 Av (N,Q,R,W)",2017,2,797562.0,404392.0
9,"57 St-7 Av (N,Q,R,W)",2017,3,888573.0,436989.0
9,"57 St-7 Av (N,Q,R,W)",2017,4,859623.0,428128.0
9,"57 St-7 Av (N,Q,R,W)",2017,5,888095.0,430193.0
9,"57 St-7 Av (N,Q,R,W)",2017,6,885600.0,437904.0
9,"57 St-7 Av (N,Q,R,W)",2017,7,816133.0,405346.0
9,"57 St-7 Av (N,Q,R,W)",2017,8,835675.0,414121.0
9,"57 St-7 Av (N,Q,R,W)",2017,9,860999.0,425101.0
9,"57 St-7 Av (N,Q,R,W)",2017,10,968363.0,472765.0
9,"57 St-7 Av (N,Q,R,W)",2017,11,860908.0,433677.0
9,"57 St-7 Av (N,Q,R,W)",2017,12,847756.0,426864.0
9,"57 St-7 Av (N,Q,R,W)",2018,1,849530.0,424838.0
